Component_ID,Temperature,Voltage,Current,Power,Time
C0001,70.938,5.004,0.2001,1.0014,10
C0001,69.989,5.0,0.1918,0.959,20
C0001,70.902,5.018,0.1961,0.9842,30
C0001,70.075,5.002,0.1994,0.9975,40
C0001,69.048,5.003,0.2046,1.0238,50
C0001,71.868,5.014,0.2027,1.0163,60
C0001,70.023,5.004,0.206,1.0308,70
C0001,70.507,5.003,0.1981,0.9914,80
C0001,70.235,5.004,0.2022,1.0119,90
C0001,70.195,5.013,0.1972,0.9885,100
C0002,74.081,4.962,0.2011,0.9979,10
C0002,73.457,4.945,0.1987,0.9826,20
C0002,73.362,4.971,0.2029,1.0088,30
C0002,72.58,4.963,0.2,0.9929,40
C0002,73.232,4.966,0.2057,1.0216,50
C0002,74.197,4.952,0.2003,0.992,60
C0002,73.837,4.97,0.1997,0.9923,70
C0002,73.527,4.949,0.1968,0.9739,80
C0002,74.126,4.974,0.2013,1.0011,90
C0002,74.24,4.964,0.199,0.9878,100
C0003,73.691,5.006,0.2267,1.1351,10
C0003,73.392,5.021,0.2306,1.1577,20
C0003,74.255,5.005,0.221,1.1061,30
C0003,73.77,5.018,0.2261,1.1346,40
C0003,73.987,5.015,0.2316,1.1616,50
C0003,74.397,5.013,0.2325,1.1654,60
C0003,74.348,5.007,0.2297,1.15,70
C0003,74.089,5.006,0.2321,1.1619,80
C0003,74.068,4.984,0.2284,1.1381,90
C0003,74.006,5.007,0.2288,1.1456,100
C0004,71.905,5.056,0.1937,0.9794,10
C0004,71.735,5.057,0.2112,1.0683,20
C0004,71.635,5.06,0.2013,1.0183,30
C0004,71.05,5.068,0.2044,1.0359,40
C0004,72.226,5.047,0.207,1.0449,50
C0004,70.91,5.062,0.2102,1.0639,60
C0004,71.157,5.051,0.2018,1.0193,70
C0004,71.449,5.041,0.2017,1.0166,80
C0004,71.114,5.061,0.1977,1.0007,90
C0004,72.681,5.049,0.2001,1.0103,100
C0005,71.781,5.03,0.2185,1.0992,10
C0005,71.27,5.015,0.2026,1.0159,20
C0005,72.179,5.03,0.2049,1.0305,30
C0005,71.835,5.029,0.2093,1.0523,40
C0005,71.973,5.018,0.2035,1.0212,50
C0005,72.094,5.03,0.2113,1.0628,60
C0005,70.892,5.009,0.2038,1.021,70
C0005,71.927,5.029,0.21,1.0564,80
C0005,72.029,5.008,0.2089,1.0463,90
C0005,70.643,5.009,0.2119,1.0612,100
C0006,71.482,5.028,0.2141,1.0766,10
C0006,71.126,4.99,0.2136,1.0656,20
C0006,71.507,5.008,0.2135,1.0692,30
C0006,71.597,4.992,0.2056,1.0262,40
C0006,71.373,5.009,0.2125,1.0643,50
C0006,70.893,5.002,0.2132,1.0663,60
C0006,71.11,5.002,0.2119,1.0597,70
C0006,70.955,5.004,0.2139,1.0702,80
C0006,72.29,5.011,0.2061,1.0328,90
C0006,71.078,5.006,0.2137,1.0696,100
C0007,72.04,5.039,0.2155,1.0858,10
C0007,72.175,5.028,0.2069,1.0402,20
C0007,71.135,5.028,0.2081,1.0462,30
C0007,72.012,5.021,0.2043,1.026,40
C0007,72.25,5.022,0.2118,1.0638,50
C0007,71.5,5.023,0.2177,1.0937,60
C0007,72.113,5.032,0.2064,1.0386,70
C0007,73.469,5.045,0.217,1.0944,80
C0007,72.533,5.026,0.2133,1.0719,90
C0007,72.665,5.02,0.2097,1.0528,100
C0008,73.923,5.06,0.23,1.1639,10
C0008,79.073,5.085,0.2369,1.2046,20
C0008,79.685,5.109,0.2458,1.2562,30
C0008,82.231,5.11,0.2637,1.3475,40
C0008,80.916,5.135,0.259,1.3296,50
C0008,82.715,5.141,0.2885,1.4829,60
C0008,84.396,5.172,0.2977,1.5398,70
C0008,89.056,5.189,0.298,1.5464,80
C0008,89.43,5.201,0.3122,1.6238,90
C0008,90.327,5.232,0.3283,1.7174,100
C0009,72.965,4.997,0.2043,1.0212,10
C0009,73.561,4.997,0.201,1.0046,20
C0009,72.817,5.012,0.2093,1.0491,30
C0009,73.247,5.008,0.201,1.0066,40
C0009,73.556,5.008,0.2007,1.0049,50
C0009,71.958,4.99,0.2008,1.0022,60
C0009,73.727,5.018,0.2018,1.0123,70
C0009,72.786,5.005,0.2036,1.0188,80
C0009,73.589,4.997,0.2073,1.0359,90
C0009,72.887,5.011,0.2024,1.0143,100
C0010,70.589,5.024,0.2007,1.0085,10
C0010,70.352,5.014,0.2079,1.0427,20
C0010,71.455,5.009,0.2047,1.0254,30
C0010,70.542,5.004,0.2021,1.011,40
C0010,71.665,5.001,0.2015,1.0076,50
C0010,70.888,5.007,0.2025,1.014,60
C0010,70.587,5.005,0.2057,1.0298,70
C0010,70.776,4.998,0.2057,1.0281,80
C0010,70.212,4.989,0.2019,1.0072,90
C0010,70.952,5.006,0.2107,1.0546,100
C0011,71.518,5.013,0.1976,0.9906,10
C0011,71.842,5.001,0.1888,0.9439,20
C0011,71.04,4.996,0.1964,0.9812,30
C0011,71.588,5.01,0.1964,0.9841,40
C0011,71.579,5.023,0.1962,0.9853,50
C0011,71.287,5.018,0.1993,1.0004,60
C0011,72.636,4.999,0.1984,0.992,70
C0011,70.675,5.008,0.1939,0.971,80
C0011,70.733,5.01,0.1873,0.9384,90
C0011,70.399,5.003,0.1968,0.9848,100
C0012,74.163,4.956,0.2078,1.0298,10
C0012,74.268,4.959,0.2196,1.0891,20
C0012,72.499,4.954,0.2147,1.0636,30
C0012,73.484,4.956,0.2171,1.0761,40
C0012,72.815,4.959,0.2151,1.0668,50
C0012,73.764,4.968,0.2102,1.0439,60
C0012,72.535,4.973,0.216,1.0741,70
C0012,73.007,4.976,0.2151,1.0704,80
C0012,74.163,4.961,0.2229,1.1058,90
C0012,74.509,4.958,0.2185,1.0835,100
C0013,74.028,5.009,0.2023,1.0134,10
C0013,74.765,5.025,0.1973,0.9916,20
C0013,72.931,5.021,0.2019,1.0137,30
C0013,74.822,5.03,0.1965,0.9882,40
C0013,74.711,5.024,0.1899,0.9538,50
C0013,74.23,5.03,0.201,1.0112,60
C0013,73.369,5.025,0.1962,0.9861,70
C0013,73.573,5.031,0.1995,1.0038,80
C0013,74.059,5.047,0.1953,0.9854,90
C0013,73.966,5.022,0.1933,0.9705,100
C0014,70.829,4.985,0.1996,0.9949,10
C0014,71.183,4.99,0.1926,0.9609,20
C0014,71.094,4.995,0.1942,0.9698,30
C0014,71.616,4.991,0.1894,0.9455,40
C0014,70.996,4.974,0.1857,0.9234,50
C0014,71.982,5.013,0.1907,0.9561,60
C0014,71.507,5.0,0.204,1.0201,70
C0014,71.833,4.996,0.1879,0.9386,80
C0014,70.198,4.999,0.1887,0.9432,90
C0014,70.308,4.99,0.1874,0.9351,100
C0015,72.72,5.019,0.2084,1.046,10
C0015,73.752,5.037,0.2067,1.0411,20
C0015,73.277,5.023,0.2058,1.0337,30
C0015,73.165,5.014,0.2008,1.0068,40
C0015,72.892,5.028,0.209,1.0505,50
C0015,72.11,5.025,0.2066,1.0382,60
C0015,71.952,5.023,0.2068,1.0388,70
C0015,71.83,5.022,0.1984,0.9965,80
C0015,72.738,5.031,0.2081,1.047,90
C0015,72.47,5.03,0.2055,1.0339,100
C0016,70.199,5.008,0.2034,1.0185,10
C0016,71.543,4.995,0.1988,0.993,20
C0016,70.225,5.003,0.207,1.036,30
C0016,70.659,5.009,0.1994,0.9987,40
C0016,71.161,4.991,0.2034,1.0152,50
C0016,71.23,4.994,0.2045,1.0212,60
C0016,71.805,4.997,0.2094,1.0462,70
C0016,70.523,5.008,0.2118,1.0606,80
C0016,69.718,4.995,0.2083,1.0406,90
C0016,71.079,5.007,0.2036,1.0193,100
C0017,72.8,5.041,0.2014,1.0153,10
C0017,72.541,5.044,0.2012,1.015,20
C0017,73.353,5.025,0.2005,1.0075,30
C0017,72.57,5.057,0.198,1.0015,40
C0017,73.513,5.041,0.1901,0.9583,50
C0017,73.363,5.039,0.1927,0.9711,60
C0017,72.742,5.045,0.2023,1.0208,70
C0017,73.268,5.048,0.1955,0.987,80
C0017,72.904,5.049,0.2013,1.0165,90
C0017,72.207,5.043,0.2011,1.0141,100
C0018,73.595,4.997,0.2053,1.0259,10
C0018,73.357,5.006,0.2001,1.0016,20
C0018,74.158,5.009,0.2061,1.0325,30
C0018,73.565,5.003,0.1981,0.9909,40
C0018,73.604,5.009,0.205,1.027,50
C0018,73.318,5.014,0.2074,1.04,60
C0018,74.119,5.024,0.1989,0.9993,70
C0018,73.124,4.988,0.208,1.0373,80
C0018,74.264,5.005,0.2031,1.0165,90
C0018,73.196,5.03,0.2025,1.0186,100
C0019,79.397,5.068,0.2222,1.126,10
C0019,83.315,5.086,0.2371,1.206,20
C0019,83.954,5.127,0.2488,1.2758,30
C0019,86.645,5.13,0.2544,1.3052,40
C0019,87.551,5.135,0.2692,1.3827,50
C0019,87.857,5.141,0.2757,1.4172,60
C0019,91.988,5.174,0.2815,1.4562,70
C0019,91.962,5.203,0.2894,1.5054,80
C0019,95.184,5.202,0.3061,1.5921,90
C0019,95.986,5.221,0.3173,1.6568,100
C0020,72.992,4.977,0.1928,0.9595,10
C0020,73.075,4.98,0.2016,1.0042,20
C0020,71.421,4.994,0.2006,1.0018,30
C0020,71.767,4.979,0.1941,0.9667,40
C0020,72.167,4.975,0.1912,0.9511,50
C0020,74.063,4.992,0.2007,1.002,60
C0020,73.444,4.971,0.1935,0.9621,70
C0020,73.305,4.971,0.1985,0.9865,80
C0020,72.867,4.979,0.1985,0.9882,90
C0020,73.278,4.979,0.2003,0.9971,100
C0021,72.073,4.959,0.1834,0.9094,10
C0021,71.804,4.954,0.1897,0.9397,20
C0021,70.166,4.984,0.178,0.887,30
C0021,69.962,4.966,0.1905,0.9462,40
C0021,70.996,4.969,0.192,0.9541,50
C0021,72.307,4.979,0.1842,0.9168,60
C0021,70.763,4.959,0.187,0.9276,70
C0021,70.036,4.977,0.1947,0.9689,80
C0021,71.445,4.967,0.1887,0.9376,90
C0021,71.986,4.988,0.1826,0.9109,100
C0022,72.391,4.945,0.1918,0.9486,10
C0022,72.33,4.947,0.1867,0.9237,20
C0022,72.399,4.931,0.1861,0.9175,30
C0022,71.954,4.935,0.194,0.9573,40
C0022,72.196,4.971,0.1917,0.9531,50
C0022,72.876,4.936,0.1926,0.9505,60
C0022,72.42,4.946,0.2,0.9892,70
C0022,72.708,4.956,0.187,0.9266,80
C0022,72.744,4.962,0.1873,0.9293,90
C0022,73.853,4.952,0.1875,0.9285,100
C0023,71.055,5.015,0.185,0.9277,10
C0023,71.007,5.029,0.1892,0.9513,20
C0023,70.74,5.041,0.1901,0.9585,30
C0023,70.096,5.034,0.1798,0.9051,40
C0023,70.334,5.036,0.1864,0.9389,50
C0023,70.636,5.026,0.1904,0.957,60
C0023,70.32,5.023,0.1894,0.9516,70
C0023,69.525,5.033,0.1817,0.9146,80
C0023,71.135,5.025,0.1864,0.9369,90
C0023,70.616,5.009,0.1833,0.918,100
C0024,73.615,5.019,0.205,1.0291,10
C0024,74.411,5.031,0.2057,1.0347,20
C0024,73.298,5.023,0.2134,1.072,30
C0024,73.252,5.004,0.206,1.0307,40
C0024,72.759,4.999,0.2031,1.0153,50
C0024,73.105,5.008,0.2081,1.0419,60
C0024,74.496,4.998,0.2111,1.0549,70
C0024,73.437,5.008,0.2098,1.0507,80
C0024,72.892,5.012,0.2078,1.0414,90
C0024,73.861,5.011,0.2169,1.0871,100
C0025,70.85,4.977,0.2038,1.0142,10
C0025,71.0,4.97,0.2076,1.032,20
C0025,71.853,4.985,0.2029,1.0117,30
C0025,70.801,4.975,0.2139,1.064,40
C0025,71.786,4.974,0.2051,1.0201,50
C0025,71.006,4.988,0.2066,1.0306,60
C0025,71.874,4.974,0.2049,1.0189,70
C0025,70.175,4.969,0.208,1.0335,80
C0025,70.653,4.974,0.2044,1.0167,90
C0025,71.641,4.971,0.1905,0.9472,100
C0026,71.104,5.004,0.2107,1.0542,10
C0026,70.479,4.991,0.2128,1.0621,20
C0026,71.187,4.99,0.2126,1.0611,30
C0026,71.396,4.999,0.2109,1.0546,40
C0026,70.594,4.987,0.2132,1.0631,50
C0026,70.205,4.989,0.2068,1.0316,60
C0026,70.712,4.998,0.2091,1.0452,70
C0026,70.723,4.972,0.2113,1.0507,80
C0026,71.082,5.007,0.2071,1.0371,90
C0026,70.826,4.988,0.2147,1.0707,100
C0027,74.059,4.955,0.1998,0.9899,10
C0027,73.596,4.959,0.1942,0.9628,20
C0027,74.392,4.952,0.2019,0.9999,30
C0027,74.034,4.951,0.2009,0.9947,40
C0027,72.592,4.964,0.2057,1.0212,50
C0027,72.793,4.953,0.1965,0.9731,60
C0027,73.707,4.963,0.2054,1.0192,70
C0027,74.487,4.97,0.2005,0.9965,80
C0027,73.125,4.956,0.2039,1.0106,90
C0027,73.077,4.973,0.205,1.0195,100
C0028,71.641,4.974,0.2129,1.059,10
C0028,71.964,4.968,0.2133,1.0599,20
C0028,72.076,4.976,0.2123,1.0565,30
C0028,72.116,4.962,0.2173,1.0782,40
C0028,71.284,4.98,0.2114,1.0528,50
C0028,70.832,4.964,0.2088,1.0366,60
C0028,72.195,4.956,0.2098,1.0396,70
C0028,70.556,4.958,0.2019,1.0008,80
C0028,70.74,4.97,0.2147,1.067,90
C0028,71.945,4.953,0.2114,1.0468,100
C0029,76.672,4.991,0.2043,1.0198,10
C0029,75.442,4.998,0.2035,1.0171,20
C0029,75.164,5.001,0.1999,1.0,30
C0029,76.196,5.006,0.2022,1.0122,40
C0029,75.336,5.002,0.201,1.0054,50
C0029,76.69,5.003,0.2058,1.0295,60
C0029,76.012,4.994,0.2086,1.0414,70
C0029,75.672,5.009,0.2034,1.0188,80
C0029,76.393,5.003,0.2129,1.0654,90
C0029,75.381,5.001,0.2001,1.0006,100
C0030,72.243,5.004,0.2173,1.0872,10
C0030,71.278,5.005,0.213,1.0664,20
C0030,71.052,4.983,0.2187,1.0899,30
C0030,71.594,4.994,0.2234,1.1159,40
C0030,70.471,4.985,0.218,1.0868,50
C0030,71.834,5.016,0.2153,1.08,60
C0030,71.853,4.999,0.2164,1.082,70
C0030,71.736,5.006,0.2108,1.0554,80
C0030,72.092,5.013,0.2146,1.076,90
C0030,71.444,5.004,0.2182,1.0918,100
C0031,72.455,4.99,0.191,0.9533,10
C0031,71.145,4.994,0.1822,0.9097,20
C0031,72.677,4.995,0.1864,0.9313,30
C0031,72.97,4.979,0.1912,0.9521,40
C0031,72.061,4.976,0.1857,0.924,50
C0031,71.229,4.994,0.1858,0.9276,60
C0031,73.226,4.998,0.1812,0.9057,70
C0031,71.983,4.996,0.1902,0.9502,80
C0031,73.219,5.003,0.1864,0.9328,90
C0031,72.703,5.004,0.1856,0.9287,100
C0032,73.006,4.998,0.2026,1.0128,10
C0032,72.521,4.999,0.1917,0.9583,20
C0032,73.119,5.001,0.2037,1.0187,30
C0032,70.832,5.019,0.1991,0.9995,40
C0032,73.234,4.987,0.2022,1.0082,50
C0032,71.938,4.992,0.2074,1.0351,60
C0032,72.455,5.0,0.2032,1.0159,70
C0032,72.867,4.999,0.2012,1.0057,80
C0032,74.012,4.997,0.2005,1.002,90
C0032,73.2,5.009,0.2045,1.0241,100
C0033,70.544,5.059,0.1928,0.9755,10
C0033,70.57,5.063,0.1961,0.9928,20
C0033,70.579,5.032,0.1901,0.9566,30
C0033,70.994,5.055,0.1967,0.9943,40
C0033,70.747,5.062,0.1928,0.9758,50
C0033,70.438,5.039,0.1887,0.9509,60
C0033,69.379,5.04,0.2,1.0082,70
C0033,69.434,5.046,0.1887,0.9519,80
C0033,70.005,5.051,0.191,0.9648,90
C0033,71.019,5.064,0.1848,0.936,100
C0034,70.142,4.909,0.2224,1.0918,10
C0034,72.439,4.939,0.2206,1.0894,20
C0034,71.332,4.934,0.2214,1.0921,30
C0034,71.144,4.926,0.2181,1.0743,40
C0034,70.523,4.922,0.2116,1.0413,50
C0034,70.917,4.915,0.2139,1.0514,60
C0034,71.083,4.939,0.222,1.0964,70
C0034,70.033,4.915,0.2221,1.0916,80
C0034,70.386,4.923,0.2205,1.0856,90
C0034,70.395,4.926,0.213,1.0492,100
C0035,72.196,4.966,0.2114,1.05,10
C0035,72.524,4.973,0.216,1.0742,20
C0035,72.471,4.969,0.2128,1.0573,30
C0035,72.54,4.959,0.2158,1.07,40
C0035,72.06,4.969,0.2142,1.0643,50
C0035,72.689,4.965,0.2144,1.0644,60
C0035,71.904,4.99,0.2079,1.0373,70
C0035,72.384,4.964,0.2201,1.0924,80
C0035,71.498,4.977,0.2082,1.0364,90
C0035,72.028,4.976,0.2161,1.0753,100
C0036,74.382,5.009,0.1858,0.9308,10
C0036,75.419,5.0,0.1868,0.9341,20
C0036,74.776,5.0,0.1875,0.9375,30
C0036,74.313,4.977,0.185,0.9207,40
C0036,74.046,4.971,0.1892,0.9404,50
C0036,73.973,4.986,0.1828,0.9115,60
C0036,74.634,4.992,0.1811,0.9038,70
C0036,74.66,4.996,0.1842,0.9202,80
C0036,75.439,4.987,0.1862,0.9288,90
C0036,74.402,4.989,0.1893,0.9446,100
C0037,70.563,5.035,0.1915,0.9639,10
C0037,71.302,5.007,0.1905,0.954,20
C0037,69.67,5.02,0.1958,0.9828,30
C0037,70.559,5.031,0.1897,0.9543,40
C0037,70.649,5.014,0.1941,0.9733,50
C0037,70.816,5.025,0.1884,0.9466,60
C0037,69.98,5.012,0.1917,0.9609,70
C0037,70.566,5.026,0.1893,0.9514,80
C0037,69.553,5.04,0.1882,0.9484,90
C0037,71.016,5.019,0.1937,0.9721,100
C0038,72.549,5.0,0.2003,1.0013,10
C0038,72.191,4.996,0.2032,1.015,20
C0038,71.893,4.995,0.2014,1.0057,30
C0038,71.459,5.003,0.1992,0.9964,40
C0038,72.649,5.007,0.1991,0.997,50
C0038,72.488,5.016,0.2014,1.0105,60
C0038,72.004,4.989,0.1949,0.9727,70
C0038,71.815,4.996,0.1985,0.9916,80
C0038,72.032,5.008,0.1989,0.9962,90
C0038,72.29,5.003,0.1913,0.9571,100
C0039,71.655,4.967,0.206,1.0231,10
C0039,72.012,4.976,0.2021,1.0054,20
C0039,72.178,4.973,0.2015,1.0019,30
C0039,72.606,4.97,0.2044,1.0158,40
C0039,71.988,4.961,0.208,1.0317,50
C0039,72.725,4.999,0.2001,1.0005,60
C0039,72.3,4.975,0.2083,1.0362,70
C0039,72.121,4.964,0.2092,1.0383,80
C0039,72.235,4.985,0.2074,1.0337,90
C0039,72.407,4.974,0.2028,1.0086,100
C0040,71.09,4.985,0.2031,1.0124,10
C0040,72.325,4.985,0.1992,0.9932,20
C0040,72.695,4.982,0.203,1.0115,30
C0040,71.417,4.979,0.1996,0.9938,40
C0040,71.873,5.001,0.1976,0.9884,50
C0040,71.009,4.998,0.2023,1.0111,60
C0040,71.576,4.994,0.2007,1.0024,70
C0040,73.073,4.99,0.2012,1.004,80
C0040,73.272,4.978,0.2061,1.0259,90
C0040,72.157,4.997,0.2094,1.0462,100
C0041,77.283,5.048,0.2261,1.1411,10
C0041,76.559,5.06,0.2409,1.2189,20
C0041,78.365,5.093,0.2503,1.2749,30
C0041,80.37,5.107,0.2529,1.2914,40
C0041,82.488,5.128,0.271,1.3894,50
C0041,85.353,5.143,0.272,1.3988,60
C0041,89.003,5.152,0.2859,1.4728,70
C0041,88.839,5.183,0.2981,1.5451,80
C0041,90.034,5.199,0.3049,1.5851,90
C0041,92.024,5.195,0.3079,1.5995,100
C0042,72.406,5.002,0.2012,1.0064,10
C0042,71.872,4.992,0.1989,0.9929,20
C0042,72.072,5.009,0.1997,1.0006,30
C0042,72.662,5.0,0.2025,1.0124,40
C0042,72.33,4.98,0.1994,0.993,50
C0042,71.831,4.988,0.2001,0.9983,60
C0042,72.965,4.994,0.199,0.9938,70
C0042,73.243,4.996,0.2082,1.0401,80
C0042,72.561,4.976,0.2008,0.9991,90
C0042,72.45,5.006,0.2005,1.0036,100
C0043,71.068,5.012,0.2049,1.0272,10
C0043,71.781,4.985,0.2095,1.0445,20
C0043,72.492,4.994,0.2022,1.0098,30
C0043,71.791,5.014,0.2008,1.0069,40
C0043,70.961,4.995,0.2033,1.0157,50
C0043,71.134,4.978,0.209,1.0404,60
C0043,71.828,4.982,0.2125,1.0585,70
C0043,72.633,4.992,0.2113,1.0548,80
C0043,71.28,5.001,0.2033,1.0167,90
C0043,72.953,4.996,0.2071,1.0349,100
C0044,71.583,5.068,0.2128,1.0783,10
C0044,70.637,5.054,0.2097,1.0595,20
C0044,70.866,5.057,0.2125,1.0744,30
C0044,71.541,5.063,0.2156,1.0914,40
C0044,70.283,5.06,0.2068,1.0464,50
C0044,69.848,5.061,0.2092,1.0587,60
C0044,71.876,5.068,0.2056,1.0419,70
C0044,72.081,5.074,0.212,1.0757,80
C0044,70.832,5.052,0.2082,1.0518,90
C0044,71.621,5.081,0.2158,1.0966,100
C0045,70.347,4.946,0.1965,0.9716,10
C0045,70.504,4.963,0.1943,0.9643,20
C0045,70.125,4.963,0.2013,0.9992,30
C0045,69.217,4.964,0.1966,0.976,40
C0045,69.657,4.936,0.1951,0.9632,50
C0045,70.424,4.973,0.1972,0.9806,60
C0045,69.225,4.969,0.1935,0.9614,70
C0045,70.096,4.966,0.1919,0.9528,80
C0045,69.348,4.968,0.1949,0.9683,90
C0045,69.38,4.956,0.1946,0.9642,100
C0046,72.898,5.008,0.197,0.9865,10
C0046,74.183,5.0,0.1961,0.9804,20
C0046,73.415,4.994,0.1972,0.9848,30
C0046,73.6,5.002,0.1886,0.9434,40
C0046,74.632,4.999,0.1876,0.9376,50
C0046,75.051,4.992,0.1908,0.9524,60
C0046,74.472,5.011,0.19,0.9519,70
C0046,74.389,5.004,0.1968,0.9847,80
C0046,74.458,4.996,0.1907,0.9527,90
C0046,74.404,4.989,0.1823,0.9096,100
C0047,70.707,5.053,0.2145,1.0837,10
C0047,72.166,5.061,0.2116,1.0707,20
C0047,71.292,5.054,0.2166,1.0945,30
C0047,70.902,5.055,0.2188,1.1061,40
C0047,70.866,5.046,0.2145,1.0825,50
C0047,71.111,5.065,0.2154,1.0912,60
C0047,71.308,5.06,0.2112,1.0687,70
C0047,71.377,5.069,0.2103,1.0659,80
C0047,71.324,5.071,0.2162,1.0962,90
C0047,72.113,5.055,0.2068,1.0455,100
C0048,72.033,5.069,0.2089,1.059,10
C0048,72.813,5.061,0.2053,1.0388,20
C0048,71.915,5.066,0.2073,1.0503,30
C0048,72.059,5.047,0.2103,1.0615,40
C0048,73.538,5.046,0.2087,1.0532,50
C0048,73.148,5.055,0.2104,1.0639,60
C0048,71.664,5.06,0.2079,1.052,70
C0048,72.892,5.068,0.219,1.1099,80
C0048,72.649,5.059,0.2094,1.0595,90
C0048,72.089,5.06,0.2075,1.0497,100
C0049,73.539,5.009,0.2028,1.0158,10
C0049,74.657,4.988,0.1956,0.9756,20
C0049,75.307,5.016,0.1942,0.9742,30
C0049,74.373,5.006,0.1949,0.9758,40
C0049,73.494,5.018,0.2026,1.0167,50
C0049,73.801,5.023,0.1972,0.9903,60
C0049,75.447,5.011,0.1981,0.9927,70
C0049,74.935,5.003,0.2023,1.0123,80
C0049,74.039,5.007,0.1997,0.9996,90
C0049,74.406,5.018,0.2031,1.0191,100
C0050,73.827,4.972,0.196,0.9744,10
C0050,73.812,4.976,0.199,0.9904,20
C0050,73.765,4.968,0.1973,0.9799,30
C0050,74.659,4.969,0.1907,0.9474,40
C0050,74.183,4.969,0.1859,0.9236,50
C0050,74.027,4.965,0.1942,0.9642,60
C0050,73.718,4.972,0.1974,0.9815,70
C0050,73.258,4.975,0.1935,0.9629,80
C0050,73.962,4.976,0.1908,0.9496,90
C0050,74.17,4.965,0.1978,0.9821,100
C0051,72.564,4.962,0.1915,0.9503,10
C0051,71.545,4.988,0.1969,0.9823,20
C0051,71.991,4.985,0.1963,0.9786,30
C0051,73.051,4.983,0.1957,0.9749,40
C0051,72.12,4.981,0.1908,0.9507,50
C0051,72.069,4.981,0.1941,0.9668,60
C0051,73.207,4.983,0.1953,0.9731,70
C0051,72.901,5.008,0.1855,0.9288,80
C0051,72.097,4.995,0.1913,0.9556,90
C0051,73.041,4.983,0.2011,1.0022,100
C0052,70.376,5.033,0.205,1.0316,10
C0052,69.824,5.071,0.2052,1.0407,20
C0052,70.404,5.055,0.2061,1.0418,30
C0052,71.347,5.043,0.2067,1.0425,40
C0052,69.885,5.036,0.2035,1.0248,50
C0052,70.308,5.045,0.2032,1.025,60
C0052,69.487,5.048,0.1999,1.0093,70
C0052,70.786,5.05,0.2001,1.0105,80
C0052,70.145,5.042,0.2072,1.0447,90
C0052,71.135,5.03,0.2064,1.0383,100
C0053,70.992,4.995,0.1843,0.9204,10
C0053,70.82,5.005,0.1913,0.9575,20
C0053,70.44,4.98,0.1855,0.9238,30
C0053,71.33,4.992,0.196,0.9785,40
C0053,71.75,5.003,0.1907,0.9543,50
C0053,70.918,4.988,0.1901,0.9481,60
C0053,71.037,4.986,0.1841,0.9178,70
C0053,70.298,4.991,0.199,0.9932,80
C0053,70.537,4.999,0.1922,0.961,90
C0053,71.567,5.006,0.1976,0.9892,100
C0054,76.132,5.072,0.2244,1.1383,10
C0054,76.105,5.088,0.2367,1.2046,20
C0054,78.815,5.086,0.2447,1.2445,30
C0054,79.829,5.113,0.2619,1.3392,40
C0054,84.756,5.146,0.2643,1.3599,50
C0054,82.812,5.168,0.2809,1.4516,60
C0054,87.095,5.175,0.288,1.4904,70
C0054,85.97,5.203,0.3,1.5612,80
C0054,91.508,5.197,0.311,1.6161,90
C0054,90.53,5.227,0.3124,1.6332,100
C0055,70.457,4.973,0.2052,1.0207,10
C0055,70.463,4.98,0.2048,1.0201,20
C0055,69.843,4.971,0.2055,1.0214,30
C0055,71.688,4.982,0.2002,0.9976,40
C0055,69.865,4.987,0.1985,0.9899,50
C0055,70.492,4.991,0.196,0.9783,60
C0055,70.336,4.969,0.199,0.9887,70
C0055,70.497,4.989,0.2014,1.0046,80
C0055,71.096,4.972,0.1945,0.9668,90
C0055,70.871,4.967,0.2011,0.999,100
